
Database             Time                 Version
-------------------- -------------------- ------------------------------
Start: ORCL          30-JUL-2022 18:52:44 Version 21.3.0.0.0

Network summary 1 - by subnetwork

Network     #Links  #Nodes    Max Lev
54376            2       2          1
54404            2       2          1
13846            2       2          1
14266            2       2          1
20187            2       2          1
21951            2       2          1
25723            2       2          1
26088            2       2          1
27721            2       2          1
27756            2       2          1
29014            2       2          1
29036            2       2          1
29103            2       2          1
29134            2       2          1
29149            2       2          1
29228            2       2          1
35840            2       2          1
36050            2       2          1
36086            2       2          1
36342            2       2          1
36460            2       2          1
36533            2       2          1
43390            2       2          1
43405            2       2          1
43716            2       2          1
49968            2       2          1
50703            2       2          1
50745            2       2          1
5251             2       2          1
57175            2       2          1
57756            2       2          1
57867            2       2          1
58144            2       2          1
6613             2       2          1
6651             2       2          1
6850             2       2          1
6968             2       2          1
10038            2       2          1
10123            2       2          1
10703            2       2          1
1247             2       2          1
17820            2       2          1
18018            2       2          1
2041             2       2          1
23395            2       2          1
24470            2       2          1
25042            2       2          1
31599            2       2          1
31625            2       2          1
3194             2       2          1
32443            2       2          1
3454             2       2          1
37376            2       2          1
38335            2       2          1
38924            2       2          1
39294            2       2          1
39343            2       2          1
39715            2       2          1
39825            2       2          1
44830            2       2          1
45947            2       2          1
46119            2       2          1
47099            2       2          1
51705            2       2          1
53407            2       2          1
53408            2       2          1
54246            2       2          1
9640             2       2          1
14573            2       2          1
14597            2       2          1
21278            2       2          1
21366            2       2          1
21604            2       2          1
22011            2       2          1
28422            2       2          1
28636            2       2          1
28805            2       2          1
28884            2       2          1
28930            2       2          1
28942            2       2          1
36193            2       2          1
42364            2       2          1
42934            2       2          1
43078            2       2          1
43365            2       2          1
50220            2       2          1
50699            2       2          1
50851            2       2          1
56220            2       2          1
56772            2       2          1
57509            2       2          1
6537             2       2          1
6572             2       2          1
6573             2       2          1
6852             2       2          1
7279             2       2          1
10249            2       2          1
16538            2       2          1
16540            2       2          1
17609            2       2          1
18010            2       2          1
22848            2       2          1
2303             2       2          1
24141            2       2          1
25309            2       2          1
25380            2       2          1
2798             2       2          1
2845             2       2          1
31652            2       2          1
32002            2       2          1
32143            2       2          1
32468            2       2          1
3450             2       2          1
37365            2       2          1
37613            2       2          1
38289            2       2          1
38893            2       2          1
39623            2       2          1
44783            2       2          1
46023            2       2          1
46072            2       2          1
46439            2       2          1
46447            2       2          1
46501            2       2          1
52653            2       2          1
53481            2       2          1
53784            2       2          1
54407            2       2          1
9163             2       2          1
9761             2       2          1
14395            2       2          1
21722            2       2          1
21736            2       2          1
21737            2       2          1
28966            2       2          1
35098            2       2          1
35845            2       2          1
36327            2       2          1
36522            2       2          1
42057            2       2          1
43084            2       2          1
43106            2       2          1
43745            2       2          1
50476            2       2          1
50596            2       2          1
50843            2       2          1
50897            2       2          1
50957            2       2          1
56267            2       2          1
57844            2       2          1
57850            2       2          1
58195            2       2          1
7005             2       2          1
7138             2       2          1
10227            2       2          1
10257            2       2          1
10595            2       2          1
1401             2       2          1
16810            2       2          1
16959            2       2          1
17174            2       2          1
17432            2       2          1
23382            2       2          1
2395             2       2          1
24605            2       2          1
25134            2       2          1
2752             2       2          1
3124             2       2          1
32432            2       2          1
46830            2       2          1
46832            2       2          1
47020            2       2          1
53946            2       2          1
54326            2       2          1
54359            2       2          1
54394            2       2          1
54411            2       2          1
767              2       2          1
8266             2       2          1
9748             2       2          1
14336            2       2          1
14570            2       2          1
14587            2       2          1
14614            2       2          1
21738            2       2          1
28912            2       2          1
29230            2       2          1
29257            2       2          1
36254            2       2          1
36486            2       2          1
42592            2       2          1
43750            2       2          1
50186            2       2          1
57033            2       2          1
57869            2       2          1
57948            2       2          1
6644             2       2          1
6882             2       2          1
10242            2       2          1
10447            2       2          1
10633            2       2          1
16211            2       2          1
17147            2       2          1
23473            2       2          1
24414            2       2          1
25013            2       2          1
30470            2       2          1
32113            2       2          1
38854            2       2          1
38881            2       2          1
46494            2       2          1
54154            2       2          1
13161            2       2          1
21600            2       2          1
29002            2       2          1
29133            2       2          1
29229            2       2          1
35857            2       2          1
36057            2       2          1
36169            2       2          1
36512            2       2          1
43486            2       2          1
43735            2       2          1
6055             2       2          1
10090            2       2          1
17753            2       2          1
18079            2       2          1
23763            2       2          1
2392             2       2          1
3156             2       2          1
32593            2       2          1
3320             2       2          1
38319            2       2          1
39545            2       2          1
46660            2       2          1
47082            2       2          1
52233            2       2          1
53369            2       2          1
54139            2       2          1
22023            2       2          1
43344            2       2          1
43434            2       2          1
57487            2       2          1
17060            2       2          1
17721            2       2          1
25426            2       2          1
32253            2       2          1
3306             2       2          1
46611            2       2          1
25436            3       3          1
25452            3       3          1
25468            3       3          1
30402            3       3          1
32302            3       3          2
32592            3       3          1
32651            3       3          2
3418             3       3          1
37814            3       3          1
37943            3       3          2
39726            3       3          1
39787            3       3          2
39831            3       3          1
45290            3       3          2
77               3       3          2
13168            3       3          2
21605            3       3          2
21957            3       3          2
28554            3       3          2
28926            3       3          2
29004            3       3          2
36464            3       3          2
36523            3       3          2
25485            3       3          1
2973             3       3          2
13938            3       3          2
14578            3       3          2
22009            3       3          2
36423            3       3          2
50611            3       3          2
50847            3       3          2
58201            3       3          2
10432            3       3          1
23728            3       3          1
24860            3       3          1
25130            3       3          2
54345            3       3          1
54420            3       3          1
20826            3       3          2
36471            3       3          2
57519            3       3          2
57763            3       3          2
6855             3       3          2
17715            3       3          2
17979            3       3          1
25141            3       3          1
2846             3       3          2
54390            3       3          1
50867            3       3          2
45584            3       3          1
46641            3       3          2
43177            3       3          2
56807            3       3          2
57012            3       3          2
57755            3       3          1
58222            3       3          2
10319            3       3          1
16347            3       3          1
17019            3       3          1
17405            3       3          1
24441            3       3          2
25481            3       3          1
32589            3       3          2
38958            3       3          1
39809            3       3          1
46420            3       3          1
47066            3       3          1
54223            3       3          2
14568            3       3          2
21364            3       3          2
21608            3       3          2
27594            3       3          2
28550            3       3          2
43614            3       3          2
49754            3       3          2
50950            3       3          2
10043            3       3          1
17295            3       3          1
18009            3       3          1
10525            3       3          2
10590            3       3          1
10671            3       3          1
1383             3       3          2
141              3       3          2
1598             3       3          1
16266            3       3          1
23308            3       3          1
2828             4       4          2
30289            4       4          2
374              4       3          3
39887            4       3          3
50292            4       4          2
23661            4       3          3
2428             4       4          1
32004            4       4          2
32574            4       4          1
13668            4       4          2
10536            4       3          3
58174            4       4          2
1284             4       4          2
38955            4       4          2
39416            4       3          3
39857            4       3          3
47094            4       3          3
49531            4       3          3
57877            4       4          2
7253             4       4          3
7324             4       4          2
10688            4       4          3
10706            4       3          3
32498            4       4          2
46618            4       4          1
54050            4       4          2
14293            4       4          2
14610            4       3          3
20608            4       4          2
29231            4       3          3
36497            4       4          2
57573            4       3          3
57724            4       4          3
10693            4       4          2
2322             4       4          2
2843             4       4          1
3118             4       3          3
32647            4       3          3
39551            4       4          1
45364            4       4          2
52208            4       3          3
13480            4       3          3
36521            4       4          3
2815             5       5          3
29160            5       4          4
21642            5       4          3
14634            5       5          3
47096            5       5          2
39800            5       5          2
32485            5       4          3
25089            5       4          3
54360            5       5          2
47024            5       4          3
47010            5       4          3
45141            5       4          3
3012             5       4          4
58211            5       4          4
41694            5       5          3
36070            5       5          3
21114            5       4          3
14617            5       5          3
16002            6       5          3
47072            6       5          3
14521            6       5          3
46858            6       6          2
21933            6       6          2
10372            6       4          4
25346            6       5          3
20619            6       6          3
36444            6       5          3
45876            6       5          3
43400            6       6          2
32422            6       4          3
58225            6       5          4
39822            6       5          3
13320            7       6          3
36508            7       6          5
3225             7       6          5
57493            7       7          3
22020            7       4          4
25324            7       7          3
43510            8       5          5
7271             8       5          4
39888            9       5          5
36468           10       9          4
10517           10       7          5
47038           10       5          5
32603           11       8          5
46441           11      11          3
46496           11       6          4
47085           11       5          5
27654           14      10          6
25471           15       6          6
10666           26      10          7
10647           28      11          7
3384            29       8          8
18088           95      49          9
10012       212946   56739      16375

547 rows selected.

Timer Set: All_Nets, Constructed at 30 Jul 2022 18:52:44, written at 18:54:37
=============================================================================
Timer          Elapsed         CPU       Calls       Ela/Call       CPU/Call
----------  ----------  ----------  ----------  -------------  -------------
next_Nodes      105.68      105.58       58228        0.00181        0.00181
(Other)           6.75        6.49           1        6.75000        6.49000
----------  ----------  ----------  ----------  -------------  -------------
Total           112.43      112.07       58229        0.00193        0.00192
----------  ----------  ----------  ----------  -------------  -------------
[Timer timed (per call in ms): Elapsed: 0.01010, CPU: 0.01010]
Elapsed: 00:01:52.63
Network summary 2 - grouped by numbers of nodes

 #Nodes  #Networks
------- ----------
      2        362
      3        103
      4         40
      5         21
      6          9
      7          3
      8          2
      9          1
     10          2
     11          2
     49          1
  56739          1

12 rows selected.

Timer Set: All_Nets, Constructed at 30 Jul 2022 18:54:37, written at 18:56:27
=============================================================================
Timer          Elapsed         CPU       Calls       Ela/Call       CPU/Call
----------  ----------  ----------  ----------  -------------  -------------
next_Nodes      103.92      103.87       58228        0.00178        0.00178
(Other)           6.76        6.58           1        6.76000        6.58000
----------  ----------  ----------  ----------  -------------  -------------
Total           110.68      110.45       58229        0.00190        0.00190
----------  ----------  ----------  ----------  -------------  -------------
[Timer timed (per call in ms): Elapsed: 0.01064, CPU: 0.01064]
Elapsed: 00:01:50.79

'END:'||TO_CHAR(SYSDATE,'DD-MON-YY
----------------------------------
End: 30-JUL-2022 18:56:28

